1,ActionTrigger,Action,Target,Value,SpawnID,Condition,Condition Value,Condition MinionType,isTargetting,Tempory,ConditionStat
0,Battlecry,Damage,AllTarget,1,,,,,TRUE,,
1,,Taunt,Self,,,,,,,,
2,OnMinionSummon,Attack,AllFriendlyMinionsExceptSelf,1,,MinionType,,멀록,,,
4,,Charge,Self,,,,,,,,
5,Battlecry,Heal,AllTarget,2,,,,,TRUE,,
6,Battlecry,Remove,EnemyWeapon,,,HasWeapon,,,,,
8,,Charge,Self,,,,,,,,
9,,Taunt,Self,,,,,,,,
10,,SpellAttack,Self,1,,,,,,,
11,Battlecry,Token,Self,1,,,,,,,
12,Battlecry,DrawCard,FriendlyHero,1,,,,,,,
14,,SpellAttack,Self,1,,,,,,,
15,Battlecry,Damage,AllTarget,1,,,,,,,
16,,Taunt,Self,,,,,,,,
18,OnMinionSummon,Attack,AllFriendlyMinionsExceptSelf,1,,,,,,,
20,Battlecry,Attack,AllFriendlyMinionsExceptSelf,1,,,,,TRUE,,
20,Battlecry,Health,AllFriendlyMinionsExceptSelf,1,,,,,,,
21,,Taunt,Self,,,,,,,,
22,,Charge,Self,,,,,,,,
24,Battlecry,Token,Self,1,,,,,,,
25,Battlecry,DrawCard,FriendlyHero,1,,,,,,,
27,,SpellAttack,Self,1,,,,,,,
28,,Taunt,Self,,,,,,,,
29,,Charge,Self,,,,,,,,
30,,Taunt,Self,,,,,,,,
31,Battlecry,Heal,AllFriendlyMinions,2,,,,,,,
32,Battlecry,Attack,Self,1,,FrendlyMinions,,,,,
32,Battlecry,Health,Self,1,,FrendlyMinions,,,,,
33,OnAttacked,Attack,Self,3,,,,,,,
34,Battlecry,Damage,EnemyHero,3,,,,,,,
35,Battlecry,Damage,AllTarget,2,,,,,,,
36,,SpellAttack,Self,1,,,,,,,
38,,Taunt,Self,,,,,,,,
39,,Charge,Self,,,,,,,,
41,OnMinionSummon,Attack,AllFriendlyMinionsExceptSelf,1,,,,,,,
41,OnMinionSummon,Health,AllFriendlyMinionsExceptSelf,1,,,,,,,
46,OnSpellCast,Mana,FriendlyHero,2,,,,,,,
47,OnSpellCast,Damage,AllTarget,1,,,,,TRUE,,
48,OnSpellCast,Attack,FriendlyHero,2,,,,,,,
48,OnSpellCast,Armor,FriendlyHero,2,,,,,,,
49,OnSpellCast,Taunt,AllTargetMinion,,,,,,TRUE,,
49,OnSpellCast,Attack,AllTargetMinion,2,,,,,,,
49,OnSpellCast,Health,AllTargetMinion,2,,,,,,,
50,OnSpellCast,Heal,AllTarget,8,,,,,TRUE,,
51,OnSpellCast,Attack,AllFriendlyMinions,2,,,,,,,
51,OnSpellCast,Attack,FriendlyHero,2,,,,,,,
52,OnSpellCast,ManaCase,FriendlyHero,1,,,,,,,
53,OnSpellCast,Damage,AllEnemyTarget,4,,,,,TRUE,,
53,OnSpellCast,Damage,AllEnemyTargetExceptSelf,1,,,,,,,
54,OnSpellCast,Damage,AllTarget,5,,,,,TRUE,,
54,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
55,,Taunt,Self,,,,,,,,
56,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
57,OnSpellCast,Damage,AllTarget,2,,,,,TRUE,,
58,OnMinionSummon,Attack,AllFriendlyMinionsExceptTarget,1,,MinionType,,야수,,,
59,OnSpellCast,,,,,,,,,,
60,OnSpellCast,,AllTargetMinion,,,,,,,,
61,OnSpellCast,Token,Self,1,,,,,,,
62,,,,,,,,,,,
62,,,,,,,,,,,
63,Battlecry,Taunt,AllFriendlyMinions,,,MinionType,,야수,TRUE,,
63,Battlecry,Attack,AllFriendlyMinions,2,,MinionType,,야수,,,
63,Battlecry,Health,AllFriendlyMinions,2,,MinionType,,야수,,,
64,OnSpellCast,Damage,RandomEnemyMinion,3,,,,,,,
65,OnMinionSummon,DrawCard,FriendlyHero,1,,MinionType,,야수,,,
66,OnMinionSummon,Charge,AllFriendlyMinions,,,MinionType,,야수,,,
67,,Charge,Self,,,,,,,,
68,OnMinionSummon,Attack,AllFriendlyMinionsExceptSelf,1,,,,,,,
69,,Taunt,Self,,,,,,,,
70,,,,,,,,,,,
71,,Taunt,Self,,,,,,,,
72,OnSpellCast,Token,FriendlyHero,2,,,,,,,
